Item,Quantity,References,MPN,Description,Package,Footprint,Notes
1,9,"PWR_TP1, PWR_TP2, PWR_TP3, PWR_TP4, COR_TP1, COR_TP2, COR_TP3, COR_TP4, COR_TP5",1625854-3,,"=""0603""",TESTPOINT-SMD_L1.6-W0.8,
2,8,"SNS_C1, SNS_C3, SNS_C4, SNS_C5, PWR_C5, COR_C1, COR_C2, COR_C3",C,100n,"=""0402""",,
3,5,"SNS_C2, PWR_C1, PWR_C2, PWR_C4, COR_C4",C,4.7u,"=""0603""",,
4,2,"PWR_C3, COR_C5",C,1u,"=""0402""",,
5,2,"COR_C6, COR_C7",C,15p,"=""0402""",,
6,1,COR_C8,C,0.8p,"=""0402""",,
7,1,COR_C9,C,100p,"=""0402""",,
8,1,COR_C10,C,10n,"=""0402""",,
9,1,COR_A1,KH-1608-H08,,"=""0603""",ANT-SMD_L1.7-W0.9,
10,1,COR_L1,L,3.9n,"=""0402""",,
11,1,SNS_U2,LIS2DW12TR,,LGA-12(2x2),LGA-12_L2.0-W2.0-P0.50-BL,
12,1,SNS_U1,MAX30101EFD+T,,OLGA-14(3.3x5.6),OESIP-14_L5.6-W3.3-P0.80-TL,
13,1,PWR_U1,MCP73831T-2ATI/OT,,SOT-23-5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,
14,1,COR_U1,NRF52832-QFAA-R,,QFN-48-EP(6x6),QFN-48_L6.0-W6.0-P0.40-BL-EP3.8,
15,2,"SNS_R1, PWR_R3",R,0,"=""0402""",,
16,1,PWR_R1,R,1,"=""0402""",,
17,1,PWR_R2,R,20k,"=""0402""",,
18,1,PWR_R5,R,2.2M,"=""0402""",,
19,1,PWR_R6,R,1M,"=""0402""",,
20,2,"COR_R1, COR_R2",R,10k,"=""0402""",,
21,3,"COR_R3, COR_R4, COR_R5",R,100k,"=""0402""",,
22,1,COR_R6,R,33,"=""0402""",,
23,1,PWR_D1,SD05,,SOD-323,SOD-323_L1.8-W1.3-LS2.5-RD,
24,1,PWR_U2,TPS7A0218PDQNR,,X2-SON-4-EP(1x1),X2SON-4_L1.0-W1.0-P0.65-TL-EP,
25,1,COR_Y1,X201632MMB4SI,,SMD2016-4P,CRYSTAL-SMD_4P-L2.0-W1.6-BL,
